['Category:',All,categories],
['],
['Month',global,warming:,(United,States),climate,change:,(United,States)],
['2004-01',17,3],
['2004-02',23,7],
['2004-03',20,6],
['2004-04',22,5],
['2004-05',23,4],
['2004-06',14,3],
['2004-07',7,2],
['2004-08',8,2],
['2004-09',18,4],
['2004-10',23,5],
['2004-11',27,5],
['2004-12',22,5],
['2005-01',21,4],
['2005-02',23,5],
['2005-03',21,4],
['2005-04',23,4],
['2005-05',21,5],
['2005-06',13,4],
['2005-07',11,3],
['2005-08',10,3],
['2005-09',28,4],
['2005-10',26,4],
['2005-11',31,5],
['2005-12',22,4],
['2006-01',21,4],
['2006-02',27,5],
['2006-03',30,4],
['2006-04',42,6],
['2006-05',38,5],
['2006-06',31,4],
['2006-07',32,4],
['2006-08',22,3],
['2006-09',33,5],
['2006-10',35,5],
['2006-11',41,6],
['2006-12',47,5],
['2007-01',65,8],
['2007-02',87,11],
['2007-03',87,9],
['2007-04',100,10],
['2007-05',80,9],
['2007-06',34,6],
['2007-07',29,6],
['2007-08',26,6],
['2007-09',38,7],
['2007-10',60,10],
['2007-11',65,11],
['2007-12',50,9],
['2008-01',40,8],
['2008-02',44,9],
['2008-03',47,9],
['2008-04',68,11],
['2008-05',58,9],
['2008-06',29,8],
['2008-07',20,6],
['2008-08',15,5],
['2008-09',29,8],
['2008-10',35,9],
['2008-11',36,9],
['2008-12',34,8],
['2009-01',31,8],
['2009-02',32,9],
['2009-03',33,9],
['2009-04',41,11],
['2009-05',31,9],
['2009-06',21,10],
['2009-07',16,8],
['2009-08',11,6],
['2009-09',22,10],
['2009-10',28,14],
['2009-11',43,17],
['2009-12',53,19],
['2010-01',28,10],
['2010-02',33,12],
['2010-03',26,10],
['2010-04',28,12],
['2010-05',23,9],
['2010-06',11,6],
['2010-07',8,4],
['2010-08',8,4],
['2010-09',13,6],
['2010-10',16,7],
['2010-11',18,8],
['2010-12',17,7],
['2011-01',15,6],
['2011-02',18,7],
['2011-03',17,7],
['2011-04',18,8],
['2011-05',17,7],
['2011-06',11,5],
['2011-07',9,4],
['2011-08',10,4],
['2011-09',13,6],
['2011-10',13,7],
['2011-11',16,8],
['2011-12',13,7],
['2012-01',13,6],
['2012-02',14,7],
['2012-03',15,8],
['2012-04',15,8],
['2012-05',13,6],
['2012-06',7,4],
['2012-07',9,5],
['2012-08',7,4],
['2012-09',10,7],
['2012-10',12,8],
['2012-11',17,10],
['2012-12',12,7],
['2013-01',11,7],
['2013-02',12,8],
['2013-03',11,7],
['2013-04',14,9],
['2013-05',15,8],
['2013-06',7,6],
['2013-07',5,5],
['2013-08',6,5],
['2013-09',9,7],
['2013-10',10,8],
['2013-11',10,8],
['2013-12',10,7],
['2014-01',17,8],
['2014-02',13,9],
['2014-03',12,9],
['2014-04',14,12],
['2014-05',18,16],
['2014-06',8,8],
['2014-07',6,6],
['2014-08',5,5],
['2014-09',10,13],
['2014-10',10,9],
['2014-11',12,11],
['2014-12',9,9],
['2015-01',9,9],
['2015-02',12,10],
['2015-03',12,12],
['2015-04',14,14],
['2015-05',12,11],
['2015-06',8,10],
['2015-07',6,7],
['2015-08',6,8],
['2015-09',10,12],
['2015-10',11,12],
['2015-11',14,18],
['2015-12',20,21],
['2016-01',9,10],
['2016-02',11,14],
['2016-03',12,15],
['2016-04',15,18],
['2016-05',13,15],
['2016-06',6,7],
['2016-07',5,6],
['2016-08',6,7],
['2016-09',9,11],
['2016-10',10,16],
['2016-11',18,28],
['2016-12',14,19],
['2017-01',13,22],
['2017-02',15,18],
['2017-03',14,21],
['2017-04',14,22],
['2017-05',15,20],
['2017-06',11,24],
['2017-07',6,8],
['2017-08',6,9],
['2017-09',13,20],
['2017-10',10,15],
['2017-11',10,16],
['2017-12',12,14],
['2018-01',13,13],
['2018-02',9,14],
['2018-03',9,14],
['2018-04',12,17],
['2018-05',10,15],
['2018-06',5,7],
['2018-07',4,6],
['2018-08',5,8],
['2018-09',7,10],
['2018-10',11,23],
['2018-11',11,23],
['2018-12',9,18],
['2019-01',13,16],
['2019-02',15,22],
['2019-03',13,25],
['2019-04',14,27],
['2019-05',17,28],
['2019-06',7,17],
['2019-07',6,12],
['2019-08',7,17],
['2019-09',13,42],
['2019-10',11,28],
['2019-11',10,26],
['2019-12',8,22],
['2020-01',10,24],
['2020-02',10,25],
['2020-03',7,18],
['2020-04',8,19],
['2020-05',6,16],
['2020-06',4,8],
['2020-07',3,6],
['2020-08',3,8],
['2020-09',8,29],
['2020-10',6,21],
['2020-11',5,16],
['2020-12',5,12],
['2021-01',4,12],
['2021-02',7,17],
['2021-03',5,13],
['2021-04',6,17],
['2021-05',5,14],
['2021-06',4,9],
['2021-07',4,11],
['2021-08',4,15],
['2021-09',5,16],
['2021-10',5,16],
['2021-11',5,19],
['2021-12',6,15],
['2022-01',4,11],
['2022-02',5,12],
['2022-03',5,14],
